Day Number,Day of the Year,Date,"Air Temperature (24hr, K)",Air Temperature (24hr) strength,"Air Temperature (daytime, K)",Air Temperature (daytime) strength,"Relative Humidity (24hr, fraction)",Relative Humidity (24hr) strength,"Relative Humidity (daytime, fraction)",Relative Humidity (daytime) strength,"Pressure (24hr, kPa)",Pressure (24hr) strength,"Pressure (daytime, kPa)",Pressure (12hr) strength,"Soil Moisture (24hr, %)",Soil Moisture (24hr) strength,"Soil Moisture (daytime, %)",Soil Moisture (daytime) strength,"Net Radiation (24hr, W/m^2)",Net Radiation (24hr) strength,"Net Radiation (daytime, W/m^2)",Net Radiation (daytime) strength,"Ground Heat Flux (24hr, W/m^2)",Ground Heat Flux (24hr) strength,"Ground Heat Flux (daytime, W/m^2)",Ground Heat Flux (daytime) strength,"Latent Heat Flux (24hr, W/m^2)",Latent Heat Flux (24hr) strength,"Latent Heat Flux (daytime, W/m^2)",Latent Heat Flux (daytime) strength,"Sensible Heat Flux (24hr, W/m^2)",Sensible Heat Flux (24hr) strength,"Sensible Heat Flux (daytime, W/m^2)",Sensible Heat Flux (daytime) strength,Precipitation (m),Snowfall (m),Day Number,Day of the Year,Date
660,295,22-Oct-94,19.310583,48,22.40068,25,0.658896,48,0.496856,25,96.414333,48,96.45764,25,26.650633,48,26.671728,25,91.014237,48,212.163696,25,8.47585,48,-9.297898,25,68.832565,48,130.674236,25,-30.657304,48,-72.191104,25,0,0,660,295,34629
661,296,23-Oct-94,17.588333,48,19.75884,25,0.696004,48,0.58334,25,96.888312,48,96.97728,25,26.197825,48,26.194464,25,80.193994,48,193.823308,25,7.762067,48,-4.480483,25,48.299508,48,93.974664,25,-39.655246,48,-95.365632,25,0.006858,0,661,296,34630
662,297,24-Oct-94,17.192437,48,17.97196,25,0.818004,48,0.875552,25,96.954708,48,96.98188,25,26.501121,48,26.6778,25,21.176335,48,63.295768,25,5.780561,48,-2.086423,25,28.146013,48,49.253832,25,1.188942,48,-11.955836,25,0.008636,0,662,297,34631
663,298,25-Oct-94,10.107817,48,10.882932,25,0.557554,48,0.46208,25,97.404708,48,97.45756,25,26.0478,48,26.033968,25,61.20295,48,147.517624,25,24.670116,48,16.470279,25,50.349204,48,75.31712,25,-35.523962,48,-88.670896,25,0,0,663,298,34632
664,299,26-Oct-94,9.45539,48,11.75226,25,0.580458,48,0.484696,25,97.418729,48,97.52748,25,25.782129,48,25.793376,25,62.587375,48,173.0328,25,22.18473,48,6.25593,25,45.584981,47,65.245371,24,-64.040679,47,-147.392436,25,0,0,664,299,34633
665,300,27-Oct-94,12.131615,48,14.216508,25,0.629773,48,0.53056,25,97.001708,48,97.0492,25,25.725587,48,25.760168,25,71.785817,48,169.24128,25,10.734224,48,-1.413267,25,39.702635,48,64.36224,25,-42.817735,48,-103.465796,25,0,0,665,300,34634
666,301,28-Oct-94,13.813869,48,15.21932,25,0.79094,48,0.754036,25,96.537229,48,96.5646,25,25.676729,48,25.69512,25,31.404208,48,104.490628,25,6.93098,48,-2.324153,25,20.0355,47,37.662408,24,-20.173391,47,-70.833062,24,0,0,666,301,34635
667,302,29-Oct-94,14.659521,48,15.71656,25,0.909073,48,0.875312,25,96.560313,48,96.60088,25,25.596592,48,25.596032,25,6.072508,48,43.854324,25,3.362595,48,-2.953776,25,8.43291,48,19.8823,25,-1.002327,48,-21.01854,25,0,0,667,302,34636
668,303,30-Oct-94,17.475292,48,18.53768,25,0.869813,48,0.81874,25,96.662042,48,96.71028,25,25.662513,48,25.673048,25,39.46609,48,86.281696,25,-4.044893,48,-11.372682,25,16.58836,48,31.111052,25,-18.83276,48,-43.797748,25,0.00508,0,668,303,34637
669,304,31-Oct-94,10.913758,48,11.017572,25,0.850346,48,0.791864,25,96.743562,48,96.90508,25,26.306821,48,26.482768,25,40.596298,48,107.98726,25,19.950827,48,13.275398,25,33.950665,48,60.992004,25,-26.596144,48,-60.270268,25,0,0,669,304,34638
670,305,01-Nov-94,12.323442,48,14.63344,25,0.688731,48,0.5911,25,96.174688,48,96.2022,25,26.015921,48,26.021616,25,56.545287,48,159.394672,25,11.9461,48,1.70054,25,47.078989,47,79.418079,24,-31.54911,48,-102.433124,25,0,0,670,305,34639
671,306,02-Nov-94,17.516583,48,18.03228,25,0.72576,48,0.713472,25,95.651167,48,95.63464,25,25.8849,48,25.871512,25,21.841917,48,94.0772,25,-1.259487,48,-7.520519,25,28.063823,47,40.150683,24,1.362317,48,-58.638112,25,0,0,671,306,34640
672,307,03-Nov-94,22.189875,48,24.17956,25,0.776985,48,0.705268,25,96.129042,48,96.20012,25,25.9471,48,25.97444,25,51.054919,48,136.839644,25,-10.398977,48,-21.39177,25,23.837325,48,53.18068,25,-16.818552,48,-62.26702,25,0.047498,0,672,307,34641
673,308,04-Nov-94,11.979435,48,10.522696,25,0.996256,48,1.004372,25,96.008479,48,95.98592,25,27.3633,48,27.62456,25,-1.768602,48,15.293908,25,19.79957,48,21.757665,25,19.744756,48,27.92322,25,1.457602,48,-9.12828,25,0.003048,0,673,308,34642
674,309,05-Nov-94,8.401573,48,9.377768,25,0.885454,48,0.823104,25,96.154542,48,96.1784,25,27.399558,48,27.475928,25,64.099779,48,145.399856,25,18.040845,48,7.439663,25,46.435931,48,76.870284,25,-35.704473,48,-75.968708,25,0,0,674,309,34643
675,310,06-Nov-94,11.813129,48,14.55518,25,0.722223,48,0.651512,25,97.168146,48,97.32716,25,26.335033,48,26.347648,25,74.860079,48,172.889832,25,13.576895,48,-4.130585,25,46.611162,48,80.542428,25,-41.825531,48,-88.216148,25,0,0,675,310,34644
676,311,07-Nov-94,14.385006,48,16.393128,25,0.741531,48,0.689084,25,96.931167,48,97.01296,25,26.17045,48,26.170928,25,46.499096,48,141.472544,25,4.141583,48,-7.779521,25,27.970273,48,52.765084,25,-22.670333,48,-80.92768,25,0,0,676,311,34645
677,312,08-Nov-94,20.431813,48,21.93672,25,0.800571,48,0.775916,25,96.36075,48,96.36072,25,26.238587,48,26.24804,25,57.828204,48,144.154592,25,-13.026552,48,-23.689842,25,21.282665,48,44.612076,25,-23.518981,48,-75.852612,25,0.015748,0,677,312,34646
678,313,09-Nov-94,8.063012,48,7.957976,25,0.85114,48,0.795192,25,96.850604,48,96.92708,25,27.003092,48,26.996664,25,24.538715,48,77.876388,25,24.346783,48,19.554278,25,40.374175,48,51.820964,25,-18.456445,47,-45.609424,25,0,0,678,313,34647
679,314,10-Nov-94,6.678692,48,8.3511,25,0.873775,48,0.79666,25,97.120333,48,97.20228,25,26.228054,48,26.2504,25,65.614515,48,163.053348,25,19.064212,48,4.940271,25,27.920448,48,54.338372,25,-56.758373,48,-113.655344,25,0,0,679,314,34648
680,315,11-Nov-94,8.28341,48,9.949204,25,0.881521,48,0.806408,25,96.959375,48,97.03208,25,25.980267,48,26.003104,25,49.910306,48,121.240484,25,13.438838,48,0.810496,25,23.778119,48,43.507764,25,-39.570381,48,-78.541968,25,0,0,680,315,34649
681,316,12-Nov-94,9.683133,48,10.030288,25,0.913446,48,0.902164,25,96.622417,48,96.63156,25,25.861675,48,25.867624,25,27.890985,48,67.470048,25,9.507427,48,4.459433,25,19.033433,48,30.2803,25,-18.365102,48,-41.649324,25,0,0,681,316,34650
682,317,13-Nov-94,15.598438,48,15.9194,25,0.976081,48,1.011852,25,96.313167,48,96.22828,25,25.975158,48,25.9698,25,8.902098,48,23.611428,25,-5.351904,48,-9.224798,25,8.662275,48,19.261876,25,5.112125,48,4.87528,25,0.001524,0,682,317,34651
683,318,14-Nov-94,11.661342,48,11.141008,25,0.876352,48,0.85296,25,96.98075,48,96.97272,25,25.888562,48,25.877048,25,54.475663,48,114.22688,25,9.082452,48,4.812256,25,36.555379,47,65.204142,24,-53.601426,47,-108.235675,24,0,0,683,318,34652
684,319,15-Nov-94,8.099054,48,9.410024,25,0.775585,48,0.71806,25,97.58675,48,97.68088,25,25.563513,48,25.551056,25,49.448565,48,142.301644,25,18.682225,48,7.929911,25,22.766431,48,42.601388,25,-45.364454,48,-107.630408,25,0,0,684,319,34653
685,320,16-Nov-94,7.941354,48,9.968044,25,0.728567,48,0.606464,25,96.965104,48,97.04316,25,25.382117,48,25.386128,25,47.323042,48,139.82648,25,15.735412,48,4.475918,25,27.900898,48,55.34706,25,-35.157258,48,-88.954696,25,0,0,685,320,34654
686,321,17-Nov-94,13.442092,48,15.29756,25,0.751448,48,0.84616,25,95.988021,48,95.80504,25,25.415425,48,25.468896,25,14.884423,48,81.891452,25,3.7273,48,-8.238806,25,41.39024,48,30.85022,25,5.179753,45,-42.802712,25,0,0,686,321,34655
687,322,18-Nov-94,10.03461,48,11.752836,25,0.551556,48,0.455796,25,96.797833,48,96.9182,25,25.139442,48,25.106896,25,19.814644,48,77.020544,25,14.693147,48,6.777813,25,29.229649,47,34.879984,25,-10.608887,46,-48.91886,25,0.021082,0,687,322,34656
688,323,19-Nov-94,14.16125,48,14.86488,25,1.011696,48,1.017828,25,96.480438,48,96.51052,25,27.580908,48,28.0852,25,10.736227,48,20.684624,25,-4.338649,48,-8.655802,25,5.477506,48,7.55636,25,-0.92001,48,-4.472432,25,0.029464,0,688,323,34657
689,324,20-Nov-94,12.42321,48,12.20656,25,0.67125,48,0.485056,25,95.416521,48,95.21704,25,28.042658,48,28.167072,25,43.160152,48,110.7578,25,11.691224,48,16.531974,25,58.954742,48,86.64892,25,-1.361672,47,-40.640632,25,0,0,689,324,34658
690,325,21-Nov-94,8.962515,48,10.3062,25,0.6649,48,0.606884,25,96.824292,48,96.9628,25,26.441225,48,26.426696,25,38.153892,48,132.859232,25,14.8763,48,5.114175,25,27.661147,47,44.030008,24,-32.307427,48,-107.91994,25,0,0,690,325,34659
691,326,22-Nov-94,4.685662,48,5.498248,25,0.823135,48,0.81328,25,97.744604,48,97.76356,25,25.95515,48,25.963464,25,14.083,48,53.707556,25,20.034804,48,13.959463,25,17.71507,46,29.060496,23,-33.218425,48,-71.800252,25,0,0,691,326,34660
692,327,23-Nov-94,3.693438,48,4.843248,25,0.755192,48,0.68608,25,98.236583,48,98.33148,25,25.694958,48,25.717736,25,34.142379,48,97.079528,25,18.065551,48,9.294019,25,18.04366,47,31.72532,25,-35.177649,47,-74.648884,25,0.001016,0,692,327,34661
693,328,24-Nov-94,6.768046,48,7.385956,25,0.904748,48,0.91906,25,97.14575,48,97.08232,25,25.616783,48,25.638008,25,23.589929,48,61.12248,25,11.55998,48,6.366586,25,25.332065,48,40.36266,25,-17.274155,47,-42.449562,24,0,0,693,328,34662
694,329,25-Nov-94,6.739008,48,6.65692,25,1.021325,48,1.028592,25,96.703583,48,96.766,25,25.479463,48,25.463368,25,9.678833,48,28.611328,25,10.841267,48,5.023604,25,9.613463,48,16.24672,25,-10.906612,48,-17.38812,25,0,0,694,329,34663
695,330,26-Nov-94,12.442344,48,12.63368,25,0.997125,48,0.98534,25,95.832979,48,95.92212,25,25.675488,48,25.691624,25,20.070502,48,53.124388,25,-4.049531,48,-8.445221,25,10.982421,48,23.704128,25,-5.038717,48,-20.97536,25,0,0,695,330,34664
696,331,27-Nov-94,11.044054,48,11.171312,25,0.589256,48,0.456052,25,95.628021,48,95.69732,25,25.5521,48,25.55396,25,39.572917,48,129.07936,25,11.390242,48,8.94737,25,31.071988,48,64.583548,25,-25.219249,47,-86.108696,24,0,0,696,331,34665
697,332,28-Nov-94,5.213171,48,7.3245,25,0.522256,48,0.441112,25,96.248896,48,96.2106,25,25.105812,48,25.13296,25,32.237812,48,114.30428,25,24.810247,48,11.42973,25,22.872033,48,39.359272,25,-34.176015,48,-86.374644,25,0,0,697,332,34666
698,333,29-Nov-94,4.922842,48,7.352932,25,0.529598,48,0.44178,25,97.246813,48,97.40728,25,24.864004,48,24.917144,25,41.444125,48,123.69492,25,21.606624,48,5.187086,25,22.926473,48,42.172224,25,-46.103389,47,-100.36,24,0,0,698,333,34667
699,334,30-Nov-94,6.128567,48,8.570088,25,0.509894,48,0.424912,25,97.468146,48,97.53656,25,24.670912,48,24.706024,25,35.74875,48,115.69,25,18.603773,48,4.917605,25,20.806168,47,38.008621,24,-35.237749,47,-88.671833,24,0,0,699,334,34668
700,335,01-Dec-94,8.761413,48,10.463008,25,0.510469,48,0.466924,25,97.087708,48,97.14052,25,24.639162,48,24.647888,25,32.147438,48,117.12964,25,9.761108,48,1.223038,25,25.546046,48,40.329264,25,-16.361754,48,-78.022008,25,0,0,700,335,34669
701,336,02-Dec-94,10.942981,48,11.206984,25,0.792146,48,0.822652,25,96.379563,48,96.34852,25,24.697079,48,24.689696,25,8.278469,48,40.112752,25,1.467059,48,-2.204172,25,17.190321,48,26.27364,25,7.444929,48,-11.634688,25,0.001016,0,701,336,34670
702,337,03-Dec-94,14.172417,48,15.66248,25,0.953838,48,0.894476,25,96.425917,48,96.46872,25,24.946737,48,24.981056,25,35.136279,48,72.398916,25,-7.34884,48,-15.193145,25,11.231379,48,22.775236,25,-16.55631,48,-34.430984,25,0,0,702,337,34671
703,338,04-Dec-94,15.425458,48,17.01744,25,0.80025,48,0.731336,25,96.471833,48,96.47168,25,25.048129,48,25.10248,25,48.084485,48,118.922832,25,-3.640385,48,-11.593931,25,20.58886,48,41.65812,25,-23.854546,48,-65.669384,25,0,0,703,338,34672
704,339,05-Dec-94,4.515046,48,3.649756,25,0.967504,48,0.979028,25,96.827208,48,96.92192,25,24.714958,48,24.688048,25,12.16025,48,43.327352,25,17.501364,48,14.889402,25,11.517925,48,18.338128,25,-18.143742,48,-39.878604,25,0.001016,0,704,339,34673
705,340,06-Dec-94,11.137377,48,12.951172,25,0.997685,48,1.01388,25,96.382333,48,96.25168,25,24.844692,48,24.842992,25,2.646506,48,20.124636,25,-0.972549,48,-8.038546,25,-2.039202,48,-3.335136,25,-3.713121,48,-15.421216,25,0.00254,0,705,340,34674
706,341,07-Dec-94,2.612368,47,2.668463,24,0.880862,47,0.826483,24,96.988617,47,97.135542,24,24.7156,47,24.686042,24,48.459249,47,110.535358,24,21.748264,47,16.597967,24,27.597911,47,38.549583,24,-42.609326,47,-88.583325,24,0.040894,0,706,341,34675
707,342,08-Dec-94,1.598246,48,1.485492,25,0.99716,48,1.021416,25,96.833354,48,96.79872,25,26.780954,48,27.17004,25,11.507752,48,22.464212,25,25.966033,48,18.184635,25,22.79894,48,20.523804,25,-15.578202,48,-20.125,25,0,0,707,342,34676
708,343,09-Dec-94,1.149438,48,1.753076,25,0.804344,48,0.741244,25,97.119687,48,97.17624,25,26.117971,48,26.093304,25,34.143252,48,94.64676,25,21.340962,48,15.617702,25,20.677033,48,31.781032,25,-34.80736,48,-78.483604,25,0,0,708,343,34677
709,344,10-Dec-94,1.851588,48,3.542784,25,0.721208,48,0.654552,25,97.506729,48,97.62624,25,25.647738,48,25.685856,25,42.515875,48,120.00924,25,21.072196,48,10.51632,25,20.46454,48,35.905252,25,-48.329374,47,-94.620964,25,0,0,709,344,34678
710,345,11-Dec-94,-0.15336,48,1.041404,25,0.676562,48,0.632008,25,97.145937,48,97.16724,25,25.272321,48,25.300256,25,12.743419,48,66.167444,25,24.615509,48,13.804578,25,17.77193,47,32.237217,24,-29.409963,48,-67.173576,25,0,0,710,345,34679
711,346,12-Dec-94,2.074077,48,2.969484,25,0.736094,48,0.726148,25,96.724042,48,96.77384,25,25.136971,48,25.143088,25,18.977888,48,74.796624,25,17.290939,48,7.303818,25,9.852858,48,18.1831,25,-26.415862,48,-63.917148,25,0,0,711,346,34680
712,347,13-Dec-94,3.405173,48,3.449232,25,0.794075,48,0.768608,25,96.947563,48,96.98104,25,25.049421,48,25.049944,25,13.95414,48,32.846288,25,9.104718,48,5.247889,25,7.181296,48,12.95492,25,-15.877513,48,-25.139304,25,0.000762,0,712,347,34681
713,348,14-Dec-94,6.079638,48,6.574272,25,1.006781,48,1.004508,25,96.696146,48,96.61584,25,25.127875,48,25.134664,25,18.120804,48,40.814776,25,4.002016,48,-0.272844,25,12.391525,48,22.31138,25,-9.73121,48,-18.230376,25,0,0,713,348,34682
714,349,15-Dec-94,6.253879,48,6.099176,25,0.980558,48,0.952776,25,96.917313,48,96.9918,25,25.188788,48,25.13408,25,22.548956,48,45.319352,25,3.684287,48,0.957686,25,10.156765,48,16.596756,25,-16.07654,48,-29.680384,25,0.003556,0,714,349,34683
715,350,16-Dec-94,8.031533,48,9.07814,25,0.851104,48,0.82606,25,96.869667,48,96.97396,25,26.182413,48,26.185008,25,36.133444,48,91.671152,25,8.160233,48,-3.089327,25,17.382444,48,30.843816,25,-26.911675,48,-57.738816,25,0,0,715,350,34684
716,351,17-Dec-94,7.501956,48,9.390536,25,0.712152,48,0.656764,25,97.242312,48,97.31,25,25.561246,48,25.579096,25,39.847208,48,116.1426,25,15.098549,48,-0.411544,25,23.113656,48,44.93404,25,-31.832154,48,-70.797192,25,0,0,716,351,34685
717,352,18-Dec-94,7.686898,48,9.061184,25,0.676944,48,0.610108,25,97.324625,48,97.42544,25,25.356738,48,25.36116,25,35.130292,48,111.55584,25,10.407305,48,-0.57551,25,18.60531,48,35.504896,25,-26.931975,48,-75.47488,25,0,0,717,352,34686
718,353,19-Dec-94,11.068367,48,12.6442,25,0.6848,48,0.647792,25,96.561813,48,96.47944,25,25.336654,48,25.351856,25,41.765615,48,111.738536,25,0.202625,48,-8.77006,25,33.83809,48,63.23642,25,-26.432302,47,-76.890517,24,0.001524,0,718,353,34687
719,354,20-Dec-94,9.950575,48,10.966104,25,0.602665,48,0.529856,25,96.632229,48,96.668,25,25.257417,48,25.285192,25,37.686475,48,102.533652,25,9.684725,48,1.514466,25,19.25486,47,32.889379,24,-30.155638,47,-77.513933,24,0,0,719,354,34688
720,355,21-Dec-94,5.062719,48,6.498664,25,0.725375,48,0.684656,25,96.951854,48,97.00532,25,24.954783,48,24.974768,25,24.383542,48,97.41576,25,15.364723,48,3.126132,25,12.280498,48,22.87742,25,-27.467429,48,-77.663732,25,0,0,720,355,34689
721,356,22-Dec-94,3.374081,48,4.475788,25,0.910304,48,0.86332,25,97.480667,48,97.56624,25,24.783154,48,24.802392,25,40.595542,48,114.04688,25,16.492982,48,5.062622,25,14.238792,48,30.051268,25,-42.850048,48,-89.05878,25,0,0,721,356,34690
722,357,23-Dec-94,3.896798,48,6.120748,25,0.905856,48,0.825008,25,97.303604,48,97.3408,25,24.726125,48,24.734368,25,39.790294,48,99.220224,25,10.681078,48,-0.790648,25,19.430865,48,36.018764,25,-31.040917,48,-62.41148,25,0,0,722,357,34691
723,358,24-Dec-94,1.409504,48,2.131608,25,0.87095,48,0.82876,25,97.133937,48,97.1906,25,24.630071,48,24.652816,25,35.420783,48,95.590784,25,18.309903,48,7.525573,25,14.190769,48,24.997984,25,-39.539833,48,-78.118156,25,0,0,723,358,34692
724,359,25-Dec-94,4.488956,48,6.262252,25,0.721658,48,0.66204,25,97.139312,48,97.21796,25,24.385467,48,24.406952,25,42.1996,48,119.37562,25,17.975321,48,2.696672,25,18.836125,48,35.48212,25,-41.338619,48,-86.58988,25,0,0,724,359,34693
725,360,26-Dec-94,6.671608,48,8.954768,25,0.653148,48,0.587884,25,97.075729,48,97.15736,25,24.322712,48,24.345832,25,25.281917,48,95.82452,25,12.73131,48,-1.35686,25,13.208846,48,26.602792,25,-24.804698,48,-67.865472,25,0,0,725,360,34694
726,361,27-Dec-94,8.673187,48,9.877244,25,0.699252,48,0.650576,25,96.927667,48,96.947,25,24.404046,48,24.412224,25,27.477417,48,86.20668,25,3.34153,48,-6.906535,25,9.527121,48,19.862844,25,-21.291544,48,-59.436828,25,0,0,726,361,34695
727,362,28-Dec-94,8.075288,48,8.172944,25,0.96471,48,0.978464,25,96.802125,48,96.80576,25,24.601675,48,24.602816,25,8.035546,48,22.7605,25,0.75644,48,-3.096724,25,9.096047,47,17.786767,24,-10.869952,48,-23.678728,25,0.001524,0,727,362,34696
728,363,29-Dec-94,6.544094,48,7.462088,25,0.961198,48,0.92354,25,96.730604,48,96.76624,25,24.713658,48,24.728944,25,40.522475,48,95.689252,25,4.436773,48,-4.354722,25,15.065344,48,30.554812,25,-29.893788,48,-60.779628,25,0,0,728,363,34697
729,364,30-Dec-94,5.666915,48,6.037196,25,0.946325,48,0.931272,25,96.67075,48,96.71396,25,24.641825,48,24.561264,25,33.251752,48,73.428288,25,6.297175,48,-2.640379,25,15.62221,48,26.48694,25,-23.926642,48,-44.300892,25,0,0,729,364,34698
730,365,31-Dec-94,8.349925,36,8.729433,24,0.948986,36,0.962842,24,96.534694,36,96.561583,24,24.870011,36,24.924083,24,20.827492,36,35.407975,24,-1.220016,36,-4.651112,24,9.1401,36,12.839571,24,-10.467567,36,-17.917587,24,-9999,0,730,365,34699
731,1,01-Jan-95,-2.178938,48,-1.678628,25,0.757358,48,0.689464,25,97.632687,48,97.75872,25,24.237496,48,24.202528,25,47.670202,48,119.70528,25,26.854009,48,18.246801,25,16.488481,48,26.121128,25,-58.035769,48,-111.830988,25,0,0,731,1,34700
732,2,02-Jan-95,0.858142,48,1.880392,25,0.69419,48,0.679752,25,97.386563,48,97.41552,25,24.092621,48,24.059112,25,23.854627,48,83.431724,25,17.39389,48,9.39456,25,13.418331,48,23.087236,25,-27.830235,48,-69.738988,25,0,0,732,2,34701
733,3,03-Jan-95,-1.735183,48,-2.028752,25,0.824442,48,0.884588,25,97.512271,48,97.56084,25,24.042192,48,24.089384,25,6.662369,48,27.961928,25,19.945596,48,18.944374,25,16.068068,47,13.932667,24,-22.490636,47,-43.431732,25,0,0,733,3,34702
734,4,04-Jan-95,-5.466387,48,-4.674772,25,0.694925,48,0.611092,25,97.884146,48,97.977,25,23.685254,48,23.66056,25,39.760998,48,113.281116,25,24.149542,48,16.697936,25,13.385481,48,23.188672,25,-50.524685,48,-106.78964,25,0,0,734,4,34703
735,5,05-Jan-95,-2.786669,48,-1.602236,25,0.790631,48,0.736344,25,96.535792,48,96.59344,25,23.591679,48,23.613976,25,25.50996,48,69.238172,25,20.885679,48,15.094368,25,34.124771,48,49.548,25,-27.829107,46,-51.636275,24,0.00127,0,735,5,34704
736,6,06-Jan-95,2.132506,48,4.350624,25,0.861835,48,0.814336,25,95.402833,48,95.24156,25,23.649008,48,23.704936,25,36.47616,48,96.688436,25,7.712444,48,-1.703028,25,14.707594,48,24.875668,25,-29.481056,48,-70.10982,25,0,0,736,6,34705
737,7,07-Jan-95,-2.49526,48,-1.623644,25,0.680123,48,0.640112,25,96.614208,48,96.7484,25,23.485267,48,23.479288,25,38.35416,48,117.527988,25,18.44368,48,11.008784,25,12.408923,48,21.257584,25,-44.388652,48,-107.278724,25,0,0,737,7,34706
738,8,08-Jan-95,5.520348,48,7.951312,25,0.685979,48,0.625704,25,96.5425,48,96.57752,25,23.611092,48,23.638584,25,39.907046,48,117.905928,25,4.72734,48,-8.175463,25,11.068235,48,20.942328,25,-33.566554,48,-88.78894,25,0,0,738,8,34707
739,9,09-Jan-95,6.617585,48,8.163656,25,0.71339,48,0.643572,25,96.719417,48,96.79576,25,23.577337,48,23.581576,25,41.542871,48,114.211592,25,6.17114,48,-7.362927,25,9.553717,48,20.262088,25,-38.160269,48,-86.586588,25,0,0,739,9,34708
740,10,10-Jan-95,10.430935,48,11.625564,25,0.71769,48,0.63044,25,96.118042,48,96.13904,25,23.793817,48,23.826128,25,36.421071,48,106.549856,25,-1.573894,48,-11.774777,25,7.724517,48,19.44576,25,-27.122877,48,-75.329808,25,0,0,740,10,34709
741,11,11-Jan-95,12.566592,48,14.649332,25,0.581665,48,0.502456,25,95.628125,48,95.60868,25,23.757367,48,23.770224,25,34.564671,48,105.875008,25,-0.893648,48,-13.49639,25,12.86729,48,24.407356,25,-20.804075,48,-67.971912,25,0,0,741,11,34710
742,12,12-Jan-95,11.311621,48,12.574464,25,0.571638,48,0.52148,25,95.715292,48,95.74396,25,23.85935,48,23.875128,25,32.876287,48,93.336072,25,-2.614223,48,-11.798498,25,10.973756,48,19.118224,25,-19.288002,48,-62.418764,25,0,0,742,12,34711
743,13,13-Jan-95,8.868528,46,9.860926,23,0.701724,46,0.661804,23,95.978065,46,96.011261,23,23.79933,46,23.8256,23,26.432637,46,95.057404,23,3.64866,46,-3.473936,23,10.548237,46,19.705678,23,-19.532754,46,-71.877248,23,0,0,743,13,34712
744,14,14-Jan-95,6.372323,48,7.890752,25,0.683362,48,0.615132,25,96.334396,48,96.41384,25,23.659046,48,23.69,25,35.166085,48,117.915404,25,10.480645,48,-3.147729,25,9.404856,48,21.124196,25,-36.242165,48,-93.643972,25,0,0,744,14,34713
745,15,15-Jan-95,8.9625,48,10.681008,25,0.554233,48,0.48786,25,96.1965,48,96.2524,25,23.527242,48,23.53108,25,37.05471,48,113.027204,25,5.433059,48,-6.433277,25,13.208044,48,23.720012,25,-29.279442,48,-82.873428,25,0,0,745,15,34714
746,16,16-Jan-95,12.406021,48,12.45228,25,0.690135,48,0.692008,25,95.574333,48,95.49728,25,23.654246,48,23.655512,25,14.454585,48,58.710764,25,-6.482898,48,-10.877598,25,6.789252,48,11.524964,25,-1.182123,48,-36.307836,25,0,0,746,16,34715
747,17,17-Jan-95,7.913383,48,7.04602,25,0.538187,48,0.580184,25,96.066396,48,96.13076,25,23.60545,48,23.591016,25,35.075212,48,105.377688,25,6.662,48,2.059662,25,19.813492,48,18.119516,25,-21.923931,48,-89.318068,25,0.001778,0,747,17,34716
748,18,18-Jan-95,3.129671,48,3.939548,25,0.739998,48,0.715688,25,96.324854,48,96.31484,25,23.486521,48,23.509848,25,14.137162,48,56.618676,25,15.698784,48,10.136941,25,34.435038,47,62.282517,24,-2.369163,48,-18.96598,25,0,0,748,18,34717
749,19,19-Jan-95,4.089069,48,6.040832,25,0.583375,48,0.526184,25,96.668042,48,96.74996,25,23.358712,48,23.409648,25,50.263344,48,135.30704,25,13.263492,48,0.521928,25,22.507852,48,36.680232,25,-41.019277,48,-99.14914,25,0,0,749,19,34718
750,20,20-Jan-95,7.025504,48,8.73504,25,0.527356,48,0.51538,25,96.875292,48,96.94932,25,23.310808,48,23.337408,25,45.457096,48,131.932024,25,6.506198,48,-9.391216,25,12.091933,48,21.363652,25,-39.871525,48,-101.177368,25,0,0,750,20,34719
751,21,21-Jan-95,2.853079,47,2.174676,25,0.698928,47,0.659228,25,96.90666,47,97.01784,25,23.242749,47,23.247616,25,36.233555,47,85.4677,25,10.105251,47,5.185996,25,16.724662,47,20.28204,25,-29.613432,47,-70.370296,25,0.017526,0.01524,751,21,34720
752,22,22-Jan-95,-0.877167,48,-0.835036,25,1.011725,48,1.030168,25,96.769813,48,96.78332,25,23.5306,48,23.520056,25,-8.828896,48,-7.76374,25,16.973981,48,16.85991,25,5.443513,48,7.615388,25,-2.701515,48,-1.480664,25,0.002032,0.00508,752,22,34721
753,23,23-Jan-95,-2.328408,48,-1.875128,25,0.90451,48,0.87514,25,97.103521,48,97.16516,25,24.110179,48,24.030856,25,-2.424006,48,18.297788,25,15.640428,48,15.228062,25,11.404183,48,22.54644,25,-1.812369,48,-10.979644,25,0,0,753,23,34722
754,24,24-Jan-95,4.62139,48,5.846456,25,0.68209,48,0.657752,25,97.138,48,97.20992,25,25.127954,48,25.027416,25,3.874746,48,40.425992,25,13.307732,48,12.44553,25,28.105575,44,56.121605,21,3.444526,46,-17.246674,23,0,0,754,24,34723
755,25,25-Jan-95,6.5605,48,7.858096,25,0.744998,48,0.677784,25,97.105625,48,97.15604,25,25.975921,48,25.99384,25,49.954615,48,126.29054,25,2.053414,48,-11.154597,25,25.289831,48,49.5331,25,-26.717729,48,-65.60208,25,0,0,755,25,34724
